sep=	
P0	source_photonEnergy	M1_outgoingMaxF_X	M1_outgoingMinF_X	M1_outgoingMaxF_Z	M1_outgoingMinF_Z	M1_intensityH_width_X	M1_intensityH_centerWidth_X	M1_intensityH_centerMass_X	M1_intensityH_width_Z	M1_intensityH_centerWidth_Z	M1_intensityH_centerMass_Z	M1_energyH_width	M1_energyH_centerWidth	M1_energyH_centerMass	M1_pathlengthH_width	M1_pathlengthH_centerWidth	M1_pathlengthH_centerMass	M1_phi_width	M1_phi_centerWidth	M1_phi_centerMass	M1_psi_width	M1_psi_centerWidth	M1_psi_centerMass	M1_incoming_NO	M1_absorbed_NO	M1_outgoing_NO	M1_incoming_R	M1_absorbed_R	M1_outgoing_R	M1_efficiency	M1_S1S0	M1_S2S0	M1_S3S0	M1_focus_horizontal_z0	M1_focus_horizontal_width	M1_focus_horizontal_theta	M1_focus_horizontal_depth	M1_focus_vertical_z0	M1_focus_vertical_width	M1_focus_vertical_theta	M1_focus_vertical_depth
0	10	0.0451921308505944	-0.0454051266938198	0.0670161364452583	-0.0642250577564756	0.0239040265152314	-7.8857176429057e-05	0.000343376896852973	0.0331778125868268	2.71844913650628e-05	5.5994807325474e-05	0	10	10	0.998811873989976	-0.000485018556499905	0.00648506950979821	0.0191108550959196	-0.000128798539323934	0.000247330033636979	0.0132831259042452	-44.9999687639608	-44.9999350082461	1000000	807072	192928	100	80.7072	19.2928	19.2928	0.542	-0.506	-0.671	-14.7972	0.00999393	9.99055e-05	200.068	-15.2138	0.0100046	9.98375e-05	200.417
1	11	0.0475672863198619	-0.0444652458736837	0.0665514480694918	-0.0639724741936192	0.0234820243932474	3.04838384834766e-05	0.0001195002339483	0.0333280932404274	9.27648230124971e-05	-0.0001835714981714	0	11	11	0.998001805357889	-0.000384926978477196	0.000847462458571258	0.0190081970224958	-8.70377937156625e-05	-0.000139855318140029	0.0134762746086735	-45.0000597393105	-44.9998664706681	1000000	821327	178673	100	82.1327	17.8673	17.8673	0.564	-0.525	-0.638	-14.9722	0.00999657	9.98894e-05	200.153	-15.0062	0.0100239	0.000100061	200.356
2	12	0.0452157100674305	-0.0467538374604859	0.0642928524999102	-0.0634189803326439	0.0239893067396593	0.000149834090045684	0.000224147370524522	0.0340068978846384	2.01191024282697e-05	-9.69795553324923e-05	0	12	12	0.997945244020044	-5.92017633348485e-05	-0.000375468527659351	0.0187469581033403	6.1006053949696e-05	7.41703528768511e-06	0.0133533427775821	-44.9999546145045	-44.9998461059735	1000000	837101	162899	100	83.7101	16.2899	16.2899	0.589	-0.525	-0.614	-15.299	0.00998066	9.98817e-05	199.85	-14.9586	0.0100278	9.95461e-05	201.471
3	13	0.0457484370022119	-0.044093246848827	0.0640135742315816	-0.063315755849537	0.0240997485299381	6.51744637625608e-05	2.38099572701031e-05	0.0339697009152395	0.000107111780842516	0.000524223658341087	0	13	13	0.998439457023484	4.63960009322029e-05	0.00217733946917775	0.0185325983201333	-9.5086140695878e-05	-6.06372092028726e-05	0.0132442290769668	-45.0001200673165	-45.0001403166299	1000000	844233	155767	100	84.4233	15.5767	15.5767	0.599	-0.551	-0.581	-15.4849	0.00999792	9.98159e-05	200.327	-14.8421	0.010018	0.000100101	200.157
4	14	0.0463172915680311	-0.04557233901081	0.063701728227338	-0.0655668600927299	0.0236919078001694	-0.000109276901111864	0.000220661852309019	0.0331786784039242	-0.00016117231262272	-0.000279645059294661	0	14	14	0.998871811037539	0.000122404394341413	0.00192698159972959	0.0188328971175611	-9.44837452595271e-05	-0.000232696717570827	0.0133815030922901	-45.0000301071702	-45.0000500387745	1000000	842005	157995	100	84.2005	15.7995	15.7995	0.598	-0.587	-0.546	-15.1074	0.0100068	0.000100228	199.682	-15.0429	0.00999421	9.99824e-05	199.919
5	15	0.0456098341872585	-0.0466543584224193	0.0632307618771916	-0.0642924044384046	0.0233593012306817	-9.72834726622653e-05	0.000378480782726592	0.0334672414013045	-6.99093161759534e-05	-0.000314725224557215	0	15	15	0.997245569152471	0.00039073210864371	0.00188710258752689	0.0190603308391951	5.94338314034316e-05	0.000252835137879638	0.0132053117976642	-44.999972313071	-45.0001031282474	1000000	844778	155222	100	84.4778	15.5222	15.5222	0.603	-0.606	-0.519	-14.8093	0.00998235	0.000100061	199.526	-15.5133	0.0100112	0.000100043	200.139
6	16	0.0450298358658853	-0.0451257452479316	0.0638457622343561	-0.0659020760620681	0.0237350754805073	0.000120175076121968	-0.000353889036362146	0.034191682292866	-0.000227402869661244	0.000523754450286559	0	16	16	0.997852462254158	0.000241011027886484	0.00277826681887117	0.0191791864948383	-0.000161123607882334	6.9855236490092e-05	0.0132870517731781	-45.0000024625493	-45.0001119879438	1000000	854926	145074	100	85.4926	14.5074	14.5074	0.620	-0.607	-0.498	-14.422	0.00998692	0.000100031	199.676	-14.9166	0.0100053	0.000100188	199.73
7	17	0.0443060269223307	-0.0457375744989691	0.0639011899670539	-0.0635237108134525	0.0236282992039938	-0.000204402584840876	-0.000215807164043305	0.0340012695795871	0.000163034292256163	-2.68496382845387e-05	0	17	17	0.997941993768625	-0.000206613965299252	0.00194370869760974	0.0191206888145121	-5.97734688580417e-05	0.000245711783359338	0.0133302141730377	-44.9999385437442	-44.9999647712529	1000000	866972	133028	100	86.6972	13.3028	13.3028	0.642	-0.593	-0.486	-14.8493	0.0100247	9.99604e-05	200.573	-15.3588	0.00998476	0.000100142	199.412
8	18	0.0457017643334258	-0.0472483202857817	0.0646732788313281	-0.0645207037076947	0.0239031852033891	9.90146487835891e-05	0.000287758949056367	0.0335979315896714	0.000134420994718082	0.000259663404179225	0	18	18	0.999003747372776	-6.12750582602573e-05	-0.000147756646398989	0.019047518463411	0.00016080924399056	0.000171770557215116	0.013537769945747	-44.9999910483613	-45.0001293469216	1000000	875061	124939	100	87.5061	12.4939	12.4939	0.656	-0.564	-0.501	-14.963	0.0100045	9.99691e-05	200.151	-15.088	0.0100259	9.99126e-05	200.693
9	19	0.0452722321183719	-0.0464772741771575	0.0659425112961647	-0.0639200318633453	0.0233936520598198	8.42503532548743e-05	-0.000183015672542537	0.0334193777657421	4.88351447921788e-05	1.01015127039333e-05	0	19	19	0.997555213246549	-0.000155264468644112	-0.000420660884142166	0.0186583777416287	0.000113751873799849	-0.000140099440872871	0.0134752280051713	-45.0000860531987	-45.0001450212939	1000000	872559	127441	100	87.2559	12.7441	12.7441	0.652	-0.535	-0.537	-14.9954	0.00998829	0.000100104	199.558	-15.2544	0.0100136	0.000100103	200.067
